Common Name;Sibling;Equatorial Coordinates RA;Equatorial Coordinates DEC;Class;Visual Mag;Abs Mag;Prllx;Error;Dist (ly);Gliese;Other Names/Notes
G208-44;B;19 53.9;+44 25;M6;14.01;15.64;212;4.3;15.39;GJ 1245 B;
G208-44;C;19 53.9;+44 25;M8;16.66;18.29;212;4.3;15.39;GJ 1245 C;
Lalande 21258;A;11 05.5;+43 32;M2;8.82;10.4;206.94;1.19;15.76;Gl 412 A;
Lalande 21258;B;11 05.5;+43 31;M6;14.4;15.78;206.94;1.19;15.76;Gl 412 B;
Groombridge 1618;;10 11.4;+49 27;K7;6.6;8.16;205.22;0.81;15.89;Gl 380;
DENIS 0255-47;;02 55.1;-47 01;L8;0;0;204;13;16;--;Brown Dwarf
BD+20 2465;;10 19.6;+19 52;M4.5;9.4;10.95;203.9;2.8;16;Gl 388;
L 354-89;;21 33.6;-49 01;M1;8.66;10.19;202.53;1.33;16.1;Gl 832;
LP 944-20;;03 39.6;-35 26;M9;18.5;20;201.4;4.3;16.19;--;Brown Dwarf
CD-44 11909;;17 37.1;-44 19;M3.5;10.94;12.43;198.32;2.43;16.45;Gl 682;
Omicron? Eridani;A;04 15.3;-07 39;K1;4.43;5.92;198.24;0.84;16.45;Gl 166 A;40 Eridani
Omicron? Eridani;B;04 15.4;-07 40;DA4;9.52;11.01;198.24;0.84;16.45;Gl 166 B;
Omicron? Eridani;C;04 15.4;-07 40;M4.5;11.17;12.66;198.24;0.84;16.45;Gl 166 C;
BD+43 4305;;22 46.8;+44 20;M4.5;10.29;11.77;198.07;2.05;16.47;Gl 873;
70 Ophiuchi;A;18 05.5;+02 30;K0;4.03;5.5;196.62;1.38;16.59;Gl 702 A;
70 Ophiuchi;B;18 05.5;+02 30;K5;6;7.47;196.62;1.38;16.59;Gl 702 B;
Altair;;19 50.8;+08 52;A7;0.77;2.21;194.44;0.94;16.77;Gl 768;Alpha Aquilae
G9-38;A;08 58.2;+19 46;M5.5;14.06;15.47;191.3;2.5;17.05;GJ 1116 A;LHS 2076
G9-38;B;08 58.2;+19 46;M5.5;14.92;16.33;191.3;2.5;17.05;GJ 1116 B;LHS 2077
L 722-22;A;00 15.5;-16 08;M4;12.03;13.41;188.7;8.4;17.3;GJ 1005 A;
L 722-22;B;00 15.5;-16 08;M6;14.3;15.7;188.7;8.4;17.3;GJ 1005 B;
G99-49;;06 00.1;+02 42;M4;11.33;12.68;186.3;6.2;17.51;GJ 3379;LTT 17897
G254-29;;11 47.7;+78 41;M4;10.8;12.14;185.48;1.43;17.59;Gl 445;
Lalande 25372;;13 45.7;+14 53;M4;8.46;9.79;184.13;1.27;17.71;Gl 526;Wolf 498
LP 656-38;;05 02.0;-06 57;M3.5;12.15;13.46;182.7;3.3;17.85;GJ 3323;LHS 1723
LP 816-60;;20 52.7;-16 58;M5;11.41;12.71;182.15;3.68;17.91;--;
Stein 2051;A;04 31.2;+58 59;M4;11.08;12.37;181.36;3.67;17.98;Gl 169.1 A;
Stein 2051;B;04 31.2;+58 59;DC5;12.44;13.73;181.36;3.67;17.98;Gl 169.1 B;
Wolf 294;;06 54.8;+33 16;M4;9.89;11.18;181.32;1.87;17.99;Gl 251;
2MASS 1835+32;;18 35.6;+33 00;M8.5;18.27;19.5;176.5;0.5;18.48;--;
Wolf 1453;;05 31.5;-03 41;M1.5;7.97;9.19;175.72;1.2;18.56;Gl 205;
2MASS 0415-09;;04 15.3;-09 35;T8.5;0;0;174.34;2.76;18.71;--;Brown Dwarf
Sigma Draconis;;19 32.4;+69 40;K0;4.67;5.87;173.41;0.46;18.81;Gl 764;
L 668-21;A;06 10.6;-21 52;M1;8.15;9.34;173.19;1.12;18.83;Gl 229 A;
L 668-21;B;06 10.6;-21 52;T6;0;0;173.19;1.12;18.83;Gl 229 B;Brown Dwarf
Ross 47;;05 42.2;+12 29;M4;11.56;12.75;172.78;3.88;18.88;Gl 213;
L 205-128;;17 46.6;-57 19;M3.5;10.75;11.93;172.08;2.22;18.95;Gl 693;
Wolf 1055;A;19 16.9;+05 10;M3.5;9.12;10.28;170.26;1.37;19.16;Gl 752 A;Ross 652
Wolf 1055;B;19 17.0;+05 09;M8;17.52;18.68;170.26;1.37;19.16;Gl 752 B;VB 10
L 674-15;;08 12.7;-21 33;M4;12.1;13.3;170;10.2;19.2;Gl 300;
Lalande 27173;A;14 57.5;-21 25;K5;5.75;6.89;169.32;1.67;19.26;Gl 570 A;HR 5568
Lalande 27173;B;14 57.5;-21 25;M1;8.07;9.21;169.32;1.67;19.26;Gl 570 B;
Lalande 27173;C;14 57.5;-21 25;M3;10.5;11.6;169.32;1.67;19.26;Gl 570 C;
Lalande 27173;D;14 57.3;-21 22;T8;0;0;169.32;1.67;19.26;Gl 570 D;Brown Dwarf
L 347-14;;19 20.8;-45 33;M4.5;12.23;13.37;169.03;1.55;19.3;Gl 754;
Ross 882;;07 44.7;+03 33;M4.5;11.19;12.32;168.59;2.67;19.35;Gl 285;
CD-40 9712;;15 32.2;-41 17;M3;9.31;10.44;168.52;1.42;19.35;Gl 588;
Eta Cassiopeiae;A;00 49.1;+57 49;G0;3.46;4.59;167.99;0.62;19.42;Gl  34 A;Wolf 24
Eta Cassiopeiae;B;00 49.1;+57 49;K7;7.51;8.64;167.99;0.62;19.42;Gl  34 B;
Lalande 46650;;23 49.2;+02 24;M2;8.98;10.1;167.51;1.49;19.47;Gl 908;
36 Ophiuchi;A;17 15.4;-26 36;K1;5.07;6.18;167.08;1.07;19.52;Gl 663 A;
36 Ophiuchi;B;17 15.4;-26 36;K1;5.11;6.23;167.08;1.07;19.52;Gl 663 B;
36 Ophiuchi;C;17 16.2;-26 33;K5;6.33;7.45;167.56;1.06;19.47;Gl 664;
CD-36 13940;A;20 11.2;-36 06;K3;5.32;6.41;165.24;0.9;19.74;Gl 783 A;HR 7703
CD-36 13940;B;20 11.2;-36 06;M3.5;11.5;12.6;165.24;0.9;19.74;Gl 783 B;
82 Eridani;;03 19.9;-43 04;G5;4.26;5.35;165.02;0.55;19.77;Gl 139;e Eridani
Delta Pavonis;;20 08.7;-66 11;G5;3.55;4.62;163.73;0.65;19.92;Gl 780;
Wolf 1481;;14 34.3;-12 31;M3;11.32;12.39;163.51;2.77;19.95;Gl 555;
