Category,Outbreak,Location,Lat,Long,Date,Cases,Fatalities,Impact Scale,Source Citation,Source
Measles,Measles,Canada (Edmonton),53.54356,-113.49045,10/2011,1,0,Isl,"News 880AM ""AHS Warns of Measles Case in Edmonton"" November 15 2011.",http://www.inews880.com/Channels/Reg/LocalNews/story.aspx?ID1572263
Measles,Measles,Canada (New Brunswick),45.64477,-65.87402,2/2013,3,0,Isl,"Tropical Medical Bureau. ""Measles alert in New Brunswick Province in Canada."" March 8 2013.",http://www.tmb.ie/destinations/news.asp?id189603
Measles,Measles,Canada (Ontario),51.56341,-88.94531,8/2012,1,0,Isl,Measles case confirmed in Durham durhamregion.com August 11 2012.,http://www.durhamregion.com/community/health/article/1472546--measles-case-confirmed-in-durham
Measles,Measles,Canada (Ontario),43.13264,-80.73906,8/2013,2,0,Isl,"Barnett Lynzee. ""Second Lab Confirmed Case Of Measles In One Month."" CJBK Radio. August 16 2013.",http://www.cjbk.com/LocalNews/story.aspx?ID2025951
Measles,Measles,Canada (Ontario),43.25002,-79.86609,8/2013,1,0,Isl,"""Confirmed case of red measles in Hamilton."" The Hamilton Spectator. August 26 2013.",http://www.thespec.com/news-story/4048074-confirmed-case-of-red-measles-in-hamilton/
Measles,Measles,Canada (Ottawa),47.411572,-75.698194,12/2010,1,0,Isl,"Long Jamie. ""Red alert by MOH after woman develops measles ."" Ottawa Sun December 3 2010.",http://www.ottawasun.com/news/ottawa/2010/12/03/16421526.html
Measles,Measles,Canada (Ottawa),45.411572,-75.698194,3/2011,1,0,Isl,"QMI Agency. ""Measles detected in student."" The Community Press (Ontario) June 1 2011.",http://www.communitypress-online.com/ArticleDisplay.aspx?e3049793
Measles,Measles,Canada (Quebec),45.47654,-75.70127,7/2013,1,0,Isl,"955fm news. ""Un cas de rougeole rpertori  Gatineau."" July 15 2013.",http://www.985fm.ca/regional/nouvelles/un-cas-de-rougeole-repertorie-a-gatineau-252829.html
Measles,Measles,Canada (Saskatchewan),53.4982,-106.44,11/2013,1,0,Isl,"The Globe and Mail. ""Suspected measles case in Saskatchewan worries health officials."" November 7 2013.",http://www.theglobeandmail.com/news/national/suspected-measles-case-in-saskatchewan-worries-health-officials/article15330274/
Measles,Measles,Canada (Toronto Ontario),43.65323,-79.38318,2/2013,1,0,Isl,"Toronto Public Health. ""Surveillance Alert: Measles case in Toronto."" March 5 2013.",http://www.toronto.ca/health/professionals/pdf/alerts/measles_alert_mar05_2013.pdf
Measles,Measles,Chile (Santiago),-33.416667,-70.55,3/2011,1,0,Isl,"Terra (Santiago) ""Minsal confirma caso de sarampin en lactante de 10 meses"" March 18 2011.",http://www.terra.cl/actualidad/index.cfm?id_cat302&id_reg1615413
Measles,Measles,Cyprus,35.12641,33.42986,11/2011-10/2012,1,0,Isl,"European Centre for Disease Prevention and Control ""Measles and rubella monitoring December 2012"" December 21 2012.",http://www.ecdc.europa.eu/en/publications/Publications/measles-rubella-monthly-surveillance-dec-2012.pdf
Measles,Measles,Ecuador,-2.15281,-79.70581,08/2011,1,0,Isl,"Diario Opinin (El Oro) ""El Oro: toman previsiones ante brote de sarampin"" October 10 2011.",http://www.diariopinion.com/primeraPlana/verArticulo.php?id809978
Measles,Measles,Mexico,23.634501,-3.92495,7/2011,1,0,Isl,"Travel Blackboard ""World Travel Health Alerts  July 27 2011"" July 28 2011.",http://www.etravelblackboard.com/article/121461/world-travel-health-alerts-july-27-2011
Measles,Measles,Mexico (Guanajuato),21.018111,-101.25832,8/2011,1,0,Isl,"El Universal Pulso. ""Measles case in Celaya city in Mexican State of Guanajuato raises concern."" Tropical Medical Bureau August 6 2011.",http://www.tmb.ie/exodus/news.asp?titleMeasles-case-in-Celaya-city-in-Mexican-State-of-Guanajuato-raises-concern&id183199
Measles,Measles,New Zealand (Auckland),-38.84846,175.00654,09/2011,1,0,Isl,"New Zealand City  ""Rugby World Cup 2011 travel may have played a role in the spread of Auckland's measles outbreak to Canterbury"" September 20 2011.",http://home.nzcity.co.nz/news/article.aspx?id136738&cat1005&fmnewsmainnarts
Measles,Measles,New Zealand (Palmerston),-45.48489,170.71489,11/2011,1,0,Isl,"Rankin Janine. ""Hospital confirms measles case."" Stuff November 17 2011.",http://www.stuff.co.nz/manawatu-standard/5987794/Hospital-confirms-measles-case
Measles,Measles,New Zealand (Southland),-45.84892,167.67554,10/2011,1,0,Isl,"Hyndman Gwyneth . ""Southland measles scare ."" The Southland Times November 2 2011.",http://www.stuff.co.nz/southland-times/news/5891739/Southland-measles-scare
Measles,Measles,Papua New Guinea,-6.31499,143.95555,10/2013,2,0,Isl,"Radio New Zealand. ""Three Boys Infected in Papua New Guinea Outbreak"" October 22 2013. ",http://www.rnzi.com/pages/news.php?opread&id80010
Measles,Measles,Portugal,39.399872,-8.224454,10/2008,1,0,Isl,"Giria M. ""Report on the measles situation in Portugal."" Eurosurveillance 13 no. 42 (2008).",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId19010
Measles,Measles,Russia (Adygea),44.82292,40.17545,10/2013,11,0,Isl,"Adygea TV. ""   11   "" October 18 2013.",http://www.adygtv.ru/6624/
Measles,Measles,Taiwan,23.69781,120.96052,7/2013-8/2013,2,0,Isl,"Hsiao Alison. ""CDC confirms second case of locally acquired measles."" Taipei Times. August 7 2013. ",http://www.taipeitimes.com/News/taiwan/archives/2013/08/07/2003569130
