UZFornacis, Fornax,  18.24, 8596, K3V, 0.843, 0.814, 5026, 2
HD23127, Reticulum,  8.58, 322, G2V, 1.131, 1.047, 5754, 1
HD23079, Reticulum,  7.14, 111, G0V, 1.102, 1.127, 5848, 1
WASP-69, Taurus,  9.52, 186, K2V, 0.876, 0.818, 5087, 1
HD23596, Perseus,  7.24, 164, F8V, 1.268, 1.604, 5888, 1
HD24040, Taurus,  7.52, 152, G0V, 1.177, 1.436, 5853, 1
HD24496A, Taurus,  6.82, 67, G0V, 0.950, 0.902, 5572, 1
HD25171, Reticulum,  7.78, 179, F8V, 1.086, 1.179, 6159, 1
WASP-68, Perseus,  12.01, 1123, G1V, 1.078, 1.062, 5830, 1
WASP-57, Eridanus,  9.76, 406, G5IV-V, 1.032, 1.042, 5589, 1
EpsilonReticuli, Reticulum,  4.44, 59, K2IVa, 1.177, 6.589, 4749, 1
HD27631, Horologium,  8.25, 148, G3IV, 1.021, 1.081, 5712, 2
HD27894, Reticulum,  9.42, 143, K2V, 0.750, 0.840, 4966, 1
XO-3, Camelopardalis,  9.91, 841, F5V, 1.213, 1.377, 6429, 1
HD28254, Dorado,  7.71, 178, G5V, 1.060, 1.103, 5724, 1
HAT-P-15, Perseus,  12.16, 619, G5V, 1.013, 1.080, 4758, 1
HD28185, Eridanus,  7.81, 138, G5V, 0.992, 1.040, 5482, 1
EpsilonTauri, Taurus,  3.54, 147, K0III, 2.723, 13.672, 4901, 1
HD28678, Taurus,  8.54, 739, K0III, 1.745, 6.183, 5076, 1
LkCa15, Taurus,  11.91, 477, K5V, 0.970, 0.813, 4612, 1
2MJ044144, Taurus,  16.52, 455, M8.5V, 0.021, 0.078, 2599, 1
HD30177, Dorado,  8.41, 172, G8V, 0.946, 1.116, 5607, 1
Gliese176, Taurus,  9.96, 30, M3V, 0.492, 0.534, 3895, 1
HD30562, Eridanus,  5.77, 86, F8V, 1.219, 1.637, 5861, 1
HD30856, Eridanus,  8.07, 385, K0III-IV, 1.349, 4.233, 4982, 1
Gliese179, Orion,  11.96, 40, M4V, 0.365, 0.375, 3372, 1
HD31253, Orion,  7.13, 164, F8V, 1.229, 1.705, 5960, 1
HD31527, Eridanus,  7.48, 126, G0V, 1.080, 1.092, 5867, 3
WASP-61, Lepus,  12.46, 1552, F7IV-V, 1.215, 1.363, 6255, 1
HD33142, Lepus,  8.13, 411, K0III-IV, 1.475, 4.195, 5052, 1
HD33283, Lepus,  8.05, 307, G3V, 1.239, 1.200, 5995, 1
HD32518, Camelopardalis,  6.44, 393, K1III, 1.129, 10.217, 4583, 1
HD34445, Orion,  7.32, 152, G0IV-V, 1.072, 1.382, 5836, 1
HD33564, Camelopardalis,  5.09, 68, F6V, 1.251, 1.111, 6251, 1
HD290327, Orion,  8.96, 185, G5IV, 0.901, 1.765, 5699, 1
HD38283, Mensa,  6.70, 125, F9.5V, 1.085, 1.187, 5945, 1
HD37124, Taurus,  7.68, 110, G4V, 0.830, 0.824, 5606, 3
PiMensae, Mensa,  5.67, 60, G1IV, 1.123, 2.086, 5888, 1
HD37605, Orion,  8.69, 143, K0V, 0.786, 0.835, 5230, 2
HD39194, Dorado,  8.08, 84, K0V, 0.919, 0.932, 5104, 3
HD38529, Orion,  5.94, 128, G4IV, 1.386, 2.576, 5697, 1
BetaPictoris, Pictor,  3.86, 63, A6V, 1.747, 1.802, 8052, 1
HD38801, Orion,  8.26, 296, K0IV, 1.356, 2.528, 5222, 1
WASP-62, Dorado,  10.29, 537, F7V, 1.253, 1.281, 6228, 1
HD38858, Orion,  5.97, 50, G4V, 1.047, 1.033, 5641, 1
HD40307, Pictor,  7.17, 42, K2.5V, 0.752, 0.716, 4977, 6
HD41004A, Pictor,  8.65, 133, K1V, 0.722, 0.719, 5035, 1
HD40979, Auriga,  6.74, 108, F8V, 1.098, 1.208, 5929, 1
HD43197, CanisMajor,  8.95, 184, G9V, 0.956, 1.001, 5287, 1
WASP-63, Columba,  11.25, 1089, G8IV, 1.315, 1.879, 5555, 1
HD43691, Auriga,  8.03, 262, G0IV-V, 1.379, 1.289, 6199, 1
HD44219, Monoceros,  7.71, 164, G5IV/V, 1.003, 1.254, 5634, 1
